congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,176,0.977272727272727,0.95644069,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,81,0.987654320987654,0.96827644,63
0,house,A000367,Amash,MI,3,Independent,175,0.662857142857143,0.74578418,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,77,0.805194805194805,0.64035733,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,175,0.971428571428571,0.80579316,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,81,0.950617283950617,0.72370725,12.3
0,house,A000370,Adams,NC,12,Democrat,175,0.108571428571429,0.12803541,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,83,0.036144578313253,0.04406953,-40
0,house,A000371,Aguilar,CA,31,Democrat,176,0.170454545454545,0.19559655,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,82,0.0487804878048781,0.06001751,-21.1
0,house,A000372,Allen,GA,12,Republican,179,0.972067039106145,0.86917572,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,84,0.976190476190476,0.82776762,16.2
0,house,A000374,Abraham,LA,5,Republican,147,0.945578231292517,0.9446263,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,51,0.980392156862745,0.94234264,29.4
0,house,A000375,Arrington,TX,19,Republican,178,0.966292134831461,0.95699419,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,83,0.963855421686747,0.96544587,49
0,house,A000376,Allred,TX,32,Democrat,83,0.0602409638554217,0.19842177,-1.9
116,house,A000376,Allred,TX,32,D,83,0.0602409638554217,0.19842177,-1.9
