,id,title,summary,summary_short
0,hr26,"To amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law.","Regulations From the Executive in Need of Scrutiny Act of 2017  (Sec. 2) This bill states that its purpose is to increase accountability for and transparency in the federal regulatory process by requiring Congress to approve all new major regulations.  (Sec. 3) The bill revises provisions relating to congressional review of agency rulemaking to require federal agencies promulgating rules to: (1) identify and repeal or amend existing rules to completely offset any annual costs of new rules to the U.S. economy; and (2) publish information about the rules in the Federal Register and include in their reports to Congress and to the Government Accountability Office (GAO) a classification of the rules as major or nonmajor rules and a complete copy of the cost-benefit analysis of the rules, including an analysis of any jobs added or lost, differentiating between public and private sector jobs. A ""major rule"" is any rule that the Office of Information and Regulatory Affairs of the Office of Management and Budget finds has resulted in or is likely to result in: (1) an annual cost on the economy of $100 million or more (adjusted annually for inflation); (2) a major increase in costs or prices for consumers, individual industries, federal, state, or local government agencies, or geographic regions; or (3) significant adverse effects on competition, employment, investment, productivity, innovation, or the ability of U.S.-based enterprises to compete with foreign-based enterprises.  A joint resolution of approval of major rules must be enacted before such rules may take effect (currently, major rules take effect unless a joint resolution disapproving them is enacted). If a joint resolution of approval is not enacted by the end of 70 session days or legislative days, as applicable, after the agency proposing the rule submits its report on such rule to Congress, the major rule shall be deemed not to be approved and shall not take effect. The bill permits a major rule to take effect for one 90-calendar day period without such approval if the President determines it is necessary because of an imminent threat to health or safety or other emergency, for the enforcement of criminal laws, for national security, or to implement an international trade agreement. The bill sets forth the congressional approval procedure for major rules and the congressional disapproval procedure for nonmajor rules. Agencies are prohibited from allowing a major rule to take effect without the congressional review procedures set forth in this bill.  A joint resolution addressing a report classifying a rule must be introduced as a major rule within three legislative days in the House of Representative and three session days in the Senate. The bill: (1) prohibits any amendments to such a joint resolution at any stage of the legislative process; (2) provides for expedited consideration of a joint resolution of approval; and (3) requires a vote on such resolution in the Senate within 15 session days after it is reported by the committee to which it was referred, or after such committee has been discharged from further consideration of the resolution. A court may review whether an agency has completed the necessary requirements under this bill for a rule to take effect (currently, no judicial review of a determination, finding, action, or omission in the rulemaking process is subject to judicial review). The bill limits the effect of a joint resolution of approval of a major rule. The bill is inapplicable to rules that concern monetary policy proposed or implemented by the Board of Governors of the Federal Reserve System or the Federal Open Market Committee.  Any rule promulgated by a federal agency that relates to a regulatory program for a commercial, recreational, or subsistence activity related to hunting, fishing, or camping, or any rule other than a major rule for which an agency for good cause finds that notice and public procedure thereon are impracticable, unnecessary, or contrary to the public interest, shall take effect at such time as the agency determines.  Before new rules take effect, agencies must amend or repeal other rules to offset any annual costs of the new rules to the U.S. economy. Over a 10-year period, agencies must submit reports designating for congressional review all agency rules that are in effect as of one year after enactment of this bill. If Congress does not enact a joint resolution of approval for such rules, the rules shall not continue in effect.  (Sec. 4) The Balanced Budget and Emergency Deficit Control Act of 1985 is amended to provide that any congressional approval procedure set forth in this bill affecting budget authority, outlays, or receipts shall be assumed to be effective unless it is not approved in accordance with this bill. (Sec. 5) The GAO must conduct a study to determine as of the date of enactment of this bill: (1) how many rules were in effect, (2) how many major rules were in effect, and (3) the total estimated economic cost imposed by all such rules. The GAO must report to Congress on such study within one year of the enactment of this bill. ",Regulations From the Executive in Need of Scrutiny Act of 2017  (Sec. 2) This bill states that its purpose is to increase accountability for and transparency in the federal regulatory process by requiring Congress to approve all new major regulations.  (Sec. 3) The bill revises provisions relating to congressional review of agency rulemaking to require federal agencies promulgating rules to: (1) identify and repeal or amend existing rules to completely offset any annual costs of new rules to ...
1,sconres3,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,"(This measure has not been amended since it was passed by the Senate on January 12, 2017. The summary of that version is repeated here.) Highlights:  This concurrent resolution establishes the FY2017 congressional budget resolution, which provides a framework for congressional consideration of revenue, spending, and other budget-related legislation. The budget resolution is a nonbinding framework used by Congress and cannot be signed into law or vetoed by the President.  The resolution establishes budget enforcement procedures by setting forth rules for applying budget points of order to various legislative proposals. It also includes reconciliation instructions directing various congressional committees to submit to the congressional budget committees deficit reduction legislation, which Congress must then consider using expedited legislative procedures.  The resolution includes reserve funds that provide the chairmen of the congressional budget committees with flexibility in applying budget enforcement rules to health care legislation that meets specified criteria.  Full Summary:  Establishes the congressional budget for the federal government for FY2017 and sets forth budgetary levels for FY2018-FY2026.  TITLE I--RECOMMENDED LEVELS AND AMOUNTS  Subtitle A--Budgetary Levels in Both Houses  (Sec. 1101) Recommends levels and amounts for FY2017-FY2026 for:    federal revenues,   new budget authority,   budget outlays,   deficits,   public debt, and   debt held by the public.   (Sec. 1102) Recommends levels of new budget authority and outlays for FY2017-FY2026 for each major functional category, including:    National Defense;   International Affairs;   General Science, Space, and Technology;   Energy;   Natural Resources and Environment;   Agriculture;   Commerce and Housing Credit;   Transportation;   Community and Regional Development;   Education, Training, Employment, and Social Services;   Health;   Medicare;   Income Security;   Social Security;   Veterans Benefits and Services;   Administration of Justice;   General Government;   Net Interest;   Allowances; and   Undistributed Offsetting Receipts.   Subtitle B--Levels and Amounts in the Senate  (Sec. 1201) Recommends Senate levels for FY2017-FY2026 for Social Security revenues, outlays, and administrative expenses.  (Sec. 1202) Recommends Senate levels of new budget authority and outlays for FY2017-FY2026 for U.S. Postal Service discretionary administrative expenses.  TITLE II--RECONCILIATION  (Title II includes reconciliation instructions directing congressional committees to submit deficit reduction legislation to the budget committees. Under the Congressional Budget Act of 1974, reconciliation bills are considered by Congress using expedited legislative procedures that prevent a filibuster and restrict amendments in the Senate.)  (Sec. 2001) Includes reconciliation instructions directing the Senate Finance Committee and the Senate Health, Education, Labor, and Pensions Committee to each submit to the Senate Budget Committee legislation to reduce the deficit by at least $1 billion over the FY2017-FY2026 period. Requires the legislation to be submitted by January 27, 2017.  (Sec. 2002) Includes reconciliation instructions directing the House Energy and Commerce Committee and the House Ways and Means Committee to each submit to the House Budget Committee legislation to reduce the deficit by at least $1 billion over the FY2017-FY2026 period. Requires the legislation to be submitted by January 27, 2017.  TITLE III--RESERVE FUNDS  Establishes reserve funds that provide the chairmen of the congressional budget committees with flexibility in applying budget enforcement rules to health care legislation that meets specified criteria. (Under the reserve funds, the chairmen may revise committee allocations, aggregates and other appropriate levels in this resolution, and the pay-as-you-go [PAYGO] ledger in the Senate.)  (Sec. 3001) Establishes a deficit-neutral reserve fund for health care legislation that would not increase the deficit over the FY2017-FY2016 period.  (Sec. 3002) Establishes a reserve fund for health care legislation. Specifies that the adjustments permitted under this section may not exceed the difference obtained from subtracting $2 billion from the sum of deficit reduction over the period of the total of fiscal years FY2017-FY2026 achieved under legislation for which the chairman has exercised authority under the deficit-neutral reserve fund in section 3001.  Specifies that, in the House and the Senate, legislation for which the chairman of the applicable budget committee has exercised authority pursuant to this section is exempt from: (1) the point of order against legislation increasing the short-term deficit, and (2) the point of order against legislation increasing long-term deficits or direct spending.  (The short-term deficit point of order prohibits the Senate from considering legislation that would cause a net increase in the deficit in excess of $10 billion in any fiscal year provided for in the most recently adopted budget resolution unless it is fully offset over the period of all fiscal years provided for in the most recently adopted budget resolution.  The long-term point of order applies to legislation that would cause a net-increase in on budget-deficits in the Senate or a net increase in direct spending in the House in excess of $5 billion in any of the 4 consecutive 10-year periods beginning with the first fiscal year that is 10 years after the budget year provided for in the most recently adopted budget resolution.)  TITLE IV-OTHER MATTERS  (Sec. 4001) Provides that, for the purposes of enforcing the Congressional Budget Act of 1974, the chairmen of the congressional budget committees may submit for publication in the Congressional Record allocations that are normally included in the joint statement of managers accompanying a conference report.  (Sec. 4002) Provides that the discretionary administrative expenses of the Social Security Administration and the U.S. Postal Service are reflected in the allocation to the appropriations committees to ensure that the committees retain control over the expenses through the annual appropriations process. Requires the administrative expenses to be included in the cost estimates for appropriations legislation for budget enforcement purposes.  (Sec. 4003) Sets forth procedures for adjustments of the allocations and aggregates included in the budget resolution. Specifies that legislation for which the House Budget Committee Chairman has made adjustments or revisions in the allocations, aggregates, and other budgetary levels of this concurrent resolution is exempt from: (1) the Cut-As-You-Go point of order, and (2) the point of order against legislation increasing long-term direct spending.  (The Cut-As-You-Go point of order prohibits the House from considering legislation that would have the net effect of increasing direct spending over specified time periods.  The long-term point of order prohibits the House from considering legislation that would cause a net increase in direct spending in excess of $5 billion in any of the 4 consecutive 10-year periods beginning with the first fiscal year that is 10 years after the budget year provided for in the most recently adopted budget resolution.  This provision effectively allows the House Budget Committee Chairman to exempt from the points of order health care legislation that qualifies for the reserve funds in title III.)  (Sec. 4004) Affirms that this budget resolution is adopted as an exercise of the rulemaking powers of the House and Senate and that either chamber has the constitutional right to change these rules. ","(This measure has not been amended since it was passed by the Senate on January 12, 2017. The summary of that version is repeated here.) Highlights:  This concurrent resolution establishes the FY2017 congressional budget resolution, which provides a framework for congressional consideration of revenue, spending, and other budget-related legislation. The budget resolution is a nonbinding framework used by Congress and cannot be signed into law or vetoed by the President.  The resolution establ..."
2,s84,A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"(This measure has not been amended since it was introduced. The expanded summary of the Senate passed version is repeated here.) (Sec. 1) This bill allows the first person, and only such person, appointed as Secretary of Defense after the enactment of this bill to be a person who is, on the date of appointment, not within at least three years after relief from active duty as a commissioned officer of a regular component of the Armed Forces. (Under current law, an individual may not be appointed as Secretary of Defense within seven years after relief from such active duty.)","(This measure has not been amended since it was introduced. The expanded summary of the Senate passed version is repeated here.) (Sec. 1) This bill allows the first person, and only such person, appointed as Secretary of Defense after the enactment of this bill to be a person who is, on the date of appointment, not within at least three years after relief from active duty as a commissioned officer of a regular component of the Armed Forces. (Under current law, an individual may not be appoint..."
3,hr7,To prohibit taxpayer funded abortions.,"(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.) No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017 TITLE I--PROHIBITING FEDERALLY FUNDED ABORTIONS (Sec. 101) This bill makes permanent the prohibition on the use of federal funds, including funds in the budget of the District of Columbia, for abortion or health coverage that includes abortion. The prohibitions in this bill, and current prohibitions, do not apply to abortions in cases of rape or incest, or where a physical condition endangers a woman's life unless an abortion is performed. Abortions may not be provided in a federal health care facility or by a federal employee. TITLE II--APPLICATION UNDER THE AFFORDABLE CARE ACT (Sec. 201) This bill amends the Internal Revenue Code and the Patient Protection and Affordable Care Act to prohibit qualified health plans from including coverage for abortions. (Qualified health plans are sold on health insurance exchanges, are the only plans eligible for premium subsidies and small employer health insurance tax credits, and fulfill an individual's requirement to maintain minimum essential coverage.) Currently, qualified health plans may cover abortion, but the portion of the premium attributable to abortion coverage is not eligible for subsidies. (Sec. 202) The bill revises notification requirements for qualified health plans regarding abortion coverage and charges for abortion coverage.","(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.) No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017 TITLE I--PROHIBITING FEDERALLY FUNDED ABORTIONS (Sec. 101) This bill makes permanent the prohibition on the use of federal funds, including funds in the budget of the District of Columbia, for abortion or health coverage that includes abortion. The prohibitions in this bill, and cu..."
4,hjres41,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".","This joint resolution nullifies the ""Disclosure of Payments by Resource Extraction Issuers"" rule finalized by the Securities and Exchange Commission on July 27, 2016. (The rule, mandated under the Dodd-Frank Wall Street Reform and Consumer Protection Act, requires resource extraction issuers to disclose payments made to governments for the commercial development of oil, natural gas, or minerals.)","This joint resolution nullifies the ""Disclosure of Payments by Resource Extraction Issuers"" rule finalized by the Securities and Exchange Commission on July 27, 2016. (The rule, mandated under the Dodd-Frank Wall Street Reform and Consumer Protection Act, requires resource extraction issuers to disclose payments made to governments for the commercial development of oil, natural gas, or m..."
5,hjres38,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,"This joint resolution nullifies the Stream Protection Rule finalized by the Department of the Interior's Office of Surface Mining Reclamation and Enforcement on December 20, 2016. The rule addresses the impacts of surface coal mining operations on surface water, groundwater, and the productivity of mining operation sites.","This joint resolution nullifies the Stream Protection Rule finalized by the Department of the Interior's Office of Surface Mining Reclamation and Enforcement on December 20, 2016. The rule addresses the impacts of surface coal mining operations on surface water, groundwater, and the productivity of mining operation sites."
6,hjres37,"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.","This joint resolution nullifies the rule finalized by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration (NASA) on August 25, 2016, relating to revising the Federal Acquisition Regulation to implement Executive Order 13673 concerning contractor compliance with labor laws. ","This joint resolution nullifies the rule finalized by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration (NASA) on August 25, 2016, relating to revising the Federal Acquisition Regulation to implement Executive Order 13673 concerning contractor compliance with labor laws. "
7,hjres40,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.","This joint resolution nullifies the “Implementation of the NICS Improvement Amendments Act of 2007” rule finalized by the Social Security Administration on December 19, 2016. The rule implements a plan to provide to the National Instant Criminal History Background Check System the name of an individual who meets certain criteria, including that benefit payments are made through a representative payee because the individual is determined to be mentally incapable of managing them. (Current law prohibits firearm sale or transfer to and purchase or possession by a person who has been adjudicated as a mental defective.) ","This joint resolution nullifies the “Implementation of the NICS Improvement Amendments Act of 2007” rule finalized by the Social Security Administration on December 19, 2016. The rule implements a plan to provide to the National Instant Criminal History Background Check System the name of an individual who meets certain criteria, including that benefit payments are made through a represe..."
8,hjres36,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Waste Prevention, Production Subject to Royalties, and Resource Conservation"".","This joint resolution nullifies the rule submitted by the Bureau of Land Management titled ""Waste Prevention, Production Subject to Royalties, and Resource Conservation.""The rule published in the Federal Register on November 18, 2016, addresses waste generated during oil and gas production.","This joint resolution nullifies the rule submitted by the Bureau of Land Management titled ""Waste Prevention, Production Subject to Royalties, and Resource Conservation.""The rule published in the Federal Register on November 18, 2016, addresses waste generated during oil and gas production."
9,hjres44,"Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.","This joint resolution nullifies the rule finalized by the Department of the Interior on December 12, 2016, relating to revising regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976. ","This joint resolution nullifies the rule finalized by the Department of the Interior on December 12, 2016, relating to revising regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976. "
