,bill,person,vote
0,hr26-115,A000374,1
1,hr26-115,A000370,0
2,hr26-115,A000055,1
3,hr26-115,A000371,0
4,hr26-115,A000372,1
5,hr26-115,A000367,1
6,hr26-115,A000369,1
7,hr26-115,A000375,1
8,hr26-115,B001291,1
9,hr26-115,B001298,1
10,hr26-115,B001299,1
11,hr26-115,B001269,1
12,hr26-115,B001282,1
13,hr26-115,B001300,0
14,hr26-115,B000213,1
15,hr26-115,B001270,0
16,hr26-115,B001281,0
17,hr26-115,B000287,0
18,hr26-115,B001287,0
19,hr26-115,B001301,1
20,hr26-115,H001056,1
21,hr26-115,B001292,0
22,hr26-115,B001302,1
23,hr26-115,B001257,1
24,hr26-115,B000490,0
25,hr26-115,B001293,1
26,hr26-115,B001250,1
27,hr26-115,B001273,1
28,hr26-115,B001243,1
29,hr26-115,B001294,1
30,hr26-115,B000574,0
31,hr26-115,B001303,0
32,hr26-115,B001278,0
33,hr26-115,B001295,1
34,hr26-115,B001296,0
35,hr26-115,B001227,0
36,hr26-115,B000755,1
37,hr26-115,B001290,1
38,hr26-115,B001283,1
39,hr26-115,B001274,1
40,hr26-115,B001284,1
41,hr26-115,B001304,0
42,hr26-115,B001285,0
43,hr26-115,B001260,1
44,hr26-115,B001297,1
45,hr26-115,B001275,1
46,hr26-115,B001305,1
47,hr26-115,B001248,1
48,hr26-115,B001286,0
49,hr26-115,B001251,0
50,hr26-115,B001289,1
51,hr26-115,C000059,1
52,hr26-115,C001037,0
53,hr26-115,C001112,0
54,hr26-115,C001097,0
55,hr26-115,C001072,0
56,hr26-115,C001103,1
57,hr26-115,C001051,1
58,hr26-115,C001090,0
59,hr26-115,C001066,0
60,hr26-115,C001091,0
61,hr26-115,C000266,1
62,hr26-115,C001076,1
63,hr26-115,C001109,1
64,hr26-115,C001080,0
65,hr26-115,C001084,0
66,hr26-115,C001101,0
67,hr26-115,C001067,0
68,hr26-115,C001049,0
69,hr26-115,C001061,0
70,hr26-115,C000537,0
71,hr26-115,C001077,1
72,hr26-115,C001068,0
73,hr26-115,C001053,1
74,hr26-115,C001093,1
75,hr26-115,C001092,0
76,hr26-115,C001108,1
77,hr26-115,C001105,1
78,hr26-115,C001062,1
79,hr26-115,C001078,0
80,hr26-115,C000714,0
81,hr26-115,C001094,1
82,hr26-115,C000754,0
83,hr26-115,C001110,0
84,hr26-115,C001059,0
85,hr26-115,C001106,1
86,hr26-115,C001069,0
87,hr26-115,C001096,1
88,hr26-115,C001087,1
89,hr26-115,C001111,0
90,hr26-115,C001038,0
91,hr26-115,C001063,1
92,hr26-115,C001048,1
93,hr26-115,C000984,0
94,hr26-115,C001107,1
95,hr26-115,D000626,1
96,hr26-115,D000598,0
97,hr26-115,D000096,0
98,hr26-115,D000619,1
99,hr26-115,D000191,0
100,hr26-115,D000197,0
101,hr26-115,D000620,0
102,hr26-115,D000216,0
103,hr26-115,D000617,0
104,hr26-115,D000627,0
105,hr26-115,D000612,1
106,hr26-115,D000604,1
107,hr26-115,D000621,1
108,hr26-115,D000623,0
109,hr26-115,D000616,1
110,hr26-115,D000610,0
111,hr26-115,D000600,1
112,hr26-115,D000624,0
113,hr26-115,D000399,0
114,hr26-115,D000625,1
115,hr26-115,D000482,0
116,hr26-115,D000614,1
117,hr26-115,D000615,1
118,hr26-115,D000533,1
119,hr26-115,D000628,1
120,hr26-115,E000288,0
121,hr26-115,E000294,1
122,hr26-115,E000179,0
123,hr26-115,E000215,0
124,hr26-115,E000297,0
125,hr26-115,E000293,0
126,hr26-115,E000296,0
127,hr26-115,F000460,1
128,hr26-115,F000464,1
129,hr26-115,F000465,1
130,hr26-115,F000466,1
131,hr26-115,F000459,1
132,hr26-115,F000461,1
133,hr26-115,F000449,1
134,hr26-115,F000454,0
135,hr26-115,F000450,1
136,hr26-115,F000462,0
137,hr26-115,F000448,1
138,hr26-115,F000372,1
139,hr26-115,F000455,0
140,hr26-115,G000571,0
141,hr26-115,G000578,1
142,hr26-115,G000579,1
143,hr26-115,G000574,0
144,hr26-115,G000559,0
145,hr26-115,G000580,1
146,hr26-115,G000563,1
